tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
MASTER,0ADvCkCnxd8b4m_VIfd0LsVnzx4It0iiNr3DaTVAH47G4HU,니제사밥꼭꼭묵으,90,40,28,False,False,False,False
MASTER,6w43rfYCcsFZsjk7MeN7d9WQik8pr6FspdTmX9r9WcUYL6y0,BoyzllMenx,13,188,175,False,False,True,False
MASTER,5rrJO5fRH-YlLUwCBTUO_WjtKmJro7k2_f23wlJcoOTV0y0,SSG  Ambltion,109,376,357,False,False,True,False
MASTER,ATC3GCXvoMlGExqm0gbJB2_UCIYunOEhvXJBC7WKNylaLQ,경고했을 텐데,53,326,308,False,False,False,False
MASTER,2Pp7dZzcUgQNgWVuS1tBfJ6oeTor0WQ3S9t9w_TW0ZZete36,BRO Sosin,39,277,282,False,False,True,False
MASTER,8Dmmk-9Kb3odSvSNjo09e109h1jkCyOQsyRamaUQCEVrWGKx,민정아 점화걸어,119,161,140,False,False,True,False
MASTER,NGErvzzsmjs8gBqeYI94XPPET4vtQRf8-UJg6ka8X6taow,오늘은느낌이좋아,22,195,176,False,False,True,True
MASTER,GQ7JoZEDEA3tna_UTqSvV5HQDRoAqg4nnMyPD1v3rMGTP54c4CrSgg-Sgg,T4ng,330,65,33,False,False,True,False
MASTER,XN4Ok-Wu7rpPa_Gr859qRWNoqHRFzrFG-fYXhwvbTVakbP1ZLtbda5eX2A,clxkzjad,0,68,43,False,False,True,False
MASTER,smj28Z8UK5IVkhWmkQIWUJVXRAWWALtw8IaCwwHtZ1iROUY,Falling In loves,1,192,154,False,False,True,False
MASTER,xKxlnNjomwqxUAHwPqhWOAinuzjCtHarXp9GLFVQ4KQrm_7C-r7SLr2V-Q,95AD,1,76,45,False,False,True,False
MASTER,aRk9cF8v1P6V3dXEt2OLUE5uZEfTvbmelxgEroU8TjykDY7jSDWtmg_iaQ,동삿님,1,54,19,False,False,True,True
MASTER,sJW9QBMi1xA3MNBdlO_Fa3z3pEkFOm6IIKxRTYpTMLRwI9s,fuxkinsekai,14,240,236,False,False,True,False
MASTER,JZm2ZRYY_565SZ0sz0exkR0oC8Aqi4p4fdfUp0KQaO6ucyg,Lelitz2,45,314,304,False,False,True,False
MASTER,J7mF6hqDTG6_JbsdpJOVLKY4DsBVP-_mJnkUzRyvwZcb-oE,R00k,1,222,207,False,False,True,False
MASTER,37xcYTMuZ3oeF4a056Cn9lZf_FBacYIkSFFbA6zMCLiNRnY,유키2,146,118,96,False,False,False,False
MASTER,3VhoLUGRY7_Ik9i-o1I4kwYl6T0OLVZs2V1EsGkfbC_d0IU,에이핑크,42,100,93,False,False,False,False
MASTER,KLq9nRxKCDCjGZCKQ1-UQjDQI4j-_K9RsWSzZ6J6o605dA,재아리,84,317,303,False,False,True,False
MASTER,9y3QdGTueoq7lH5TrHaaljNoSp1YzqEZ6d9GdR9DKid3e78BDO9eD46WOQ,D1 is My home,170,166,142,False,False,True,False
MASTER,SlhwAxDqEgfJ-6SIzbRoG7YzAL1My95tw15Pkce3YtsUXcc,아 기여워,75,142,108,False,False,True,False
MASTER,q8MFouHWR9owDF68WZyUuwu1wb_TlOa_fJ2tttIPUqPUOyE,8miao,104,348,284,False,False,True,False
MASTER,19RtDn98dA-asfkTIKVZfM0NXi0ZFW98meLkuPMoqAdi9A,푸루루링,23,104,89,False,False,False,False
MASTER,21qenDPcHUziY7NRNnHXLKW0QPCmSaI6AnA7_7EyXpsyu3ao,챔푸 연습용 계정,22,58,46,False,False,False,False
MASTER,rZAPDHdltnePD88Gf_dwWjrj_CPhvWsGJWvNjkCXnmaI8gk,KCHF,0,217,161,False,False,True,False
MASTER,v_fAxqATKB3BQ1Fgw3O5vTD1sE1SLSO2vvaRJm0LmwfOHA,롯데우승하자,48,176,162,False,False,False,True
MASTER,cehg0lSVglnVPBV1tpdoIDzzx7qxftth6EmTjUECGhncQq0,선 비,1,38,25,False,False,True,True
MASTER,ZQwBgcH8RoSWNS73HhZL0yOXYbWoJ3l16rZO2mmZIfnjkw,pi9,69,178,158,False,False,False,False
MASTER,MQYYKRtOgcTijLIiZMttupON4ezoqyl-sWugM4Vpvtzpgy-a,하암박,142,31,17,False,False,True,False
MASTER,ZWqpbunBeIxzS7MLYfqLI9mOjxd-A-IWyobtn9vivrQ7r1o,hewon,190,141,132,False,False,True,False
MASTER,YItzADs0wokhtAXhu8GCXbXyFzGURwwIotNaVJnqqleSc48,수 직,126,150,133,True,False,False,False
MASTER,pHn9G-4gtFMnE2QaUUBYV00IIeZaatZYM25X5ZubUuAXeJs,Surporter,26,74,67,False,False,False,False
MASTER,ixBjZjH4i1XdfbuXFpb0TvsaJm9wXfnZA6KSipLOANvPaNc,입좀열지마요,65,96,60,False,False,True,True
MASTER,AzKPF__LUkxFs_VJXUn4sJi0wVmG-Q9YD9LCBjOI1LRIdVo,qccaksjdvkioe,153,101,82,False,False,True,True
MASTER,Co8dghvPGDBzv-vQZVYl7YB-IJ4tszZsKfeA203lEsO18otYyPq6B8iJ9w,LikY1225,87,466,425,False,False,True,False
MASTER,SH5F2I_ANO6--HGWp6kvb4mmmXBnwgTWW7WC5coQc9neOYA,외길인생이에요,148,138,119,False,False,True,False
